molecule_chembl_id,canonical_smiles,standard_value
CHEMBL501165,CN(Cc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1)c1ccc([N+](=O)[O-])c2nonc12,286.0
CHEMBL449778,O=C(CCCCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1)c1ccc(-c2c3ccc(=O)cc-3oc3cc(O)ccc23)c(C(=O)O)c1,835.0
CHEMBL503496,CN(C)c1ccc2c(-c3ccc(C(=O)CCCCOc4ccc(Cc5cc([C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)ccc5Cl)cc4)cc3C(=O)[O-])c3ccc(=[N+](C)C)cc-3oc2c1,370.0
CHEMBL442864,Cc1cc(C)n2c1C=C1C=CC(CCC(=O)NCCOc3ccc(Cc4cc([C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)ccc4Cl)cc3)=[N+]1[B-]2(F)F,420.0
CHEMBL509911,Cc1cc(C)n2c1C=C1C=CC(CCC(=O)N(C)CCOc3ccc(Cc4cc([C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)ccc4Cl)cc3)=[N+]1[B-]2(F)F,315.0
CHEMBL508623,Cc1cc(C)n2c1C=C1C=CC(CCC(=O)NCCCOc3ccc(Cc4cc([C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)ccc4Cl)cc3)=[N+]1[B-]2(F)F,203.0
CHEMBL473046,Cc1cc(C)n2c1C=C1C=CC(CCC(=O)N(C)CCCOc3ccc(Cc4cc([C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)ccc4Cl)cc3)=[N+]1[B-]2(F)F,430.0
CHEMBL506354,Cc1cc(C)n2c1C=C1C=CC(CCC(=O)NCCCCOc3ccc(Cc4cc([C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)ccc4Cl)cc3)=[N+]1[B-]2(F)F,267.0
CHEMBL444227,Cc1cc(C)n2c1C=C1C=CC(CCC(=O)N(C)CCCCOc3ccc(Cc4cc([C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)ccc4Cl)cc3)=[N+]1[B-]2(F)F,155.0
CHEMBL171648,CCCN(CCCCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1)C(=O)CCC1=[N+]2C(=Cc3c(C)cc(C)n3[B-]2(F)F)C=C1,850.0
CHEMBL509278,Cc1cc(C)n2c1C=C1C=CC(CCC(=O)N(CCCCOc3ccc(Cc4cc([C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)ccc4Cl)cc3)C(C)C)=[N+]1[B-]2(F)F,1570.0
CHEMBL508141,Cc1cc(C)n2c1C=C1C=CC(CCC(=O)N(CCCCOc3ccc(Cc4cc([C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)ccc4Cl)cc3)CC(C)C)=[N+]1[B-]2(F)F,2000.0
CHEMBL504484,Cc1cc(C)n2c1C=C1C=CC(CCC(=O)NCCCCCCOc3ccc(Cc4cc([C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)ccc4Cl)cc3)=[N+]1[B-]2(F)F,148.0
CHEMBL511083,Cc1cc(C)n2c1C=C1C=CC(CCC(=O)NCCCCCCCCOc3ccc(Cc4cc([C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)ccc4Cl)cc3)=[N+]1[B-]2(F)F,205.0
CHEMBL500780,CC1(C)C2=C3C=C4C5=[N+](CCC4OC3CCN2c2ccc(CC(=O)NCCCCOc3ccc(Cc4cc([C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)ccc4Cl)cc3)cc21)c1ccc(S(=O)(=O)[O-])cc1C5(C)C,145.0
CHEMBL499912,CN(CCCCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1)C(=O)Cc1ccc2c(c1)C(C)(C)C1=C3C=C4C5=[N+](CCC4OC3CCN12)c1ccc(S(=O)(=O)[O-])cc1C5(C)C,122.0
CHEMBL452214,CCN(CCCCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1)C(=O)Cc1ccc2c(c1)C(C)(C)C1=C3C=C4C5=[N+](CCC4OC3CCN12)c1ccc(S(=O)(=O)[O-])cc1C5(C)C,131.0
CHEMBL500268,CC1(C)C2=C3C=C4C5=[N+](CCC4OC3CCN2c2ccc(CC(=O)NCCCCCCOc3ccc(Cc4cc([C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)ccc4Cl)cc3)cc21)c1ccc(S(=O)(=O)[O-])cc1C5(C)C,102.0
CHEMBL447975,CN(C)c1ccc2c(-c3ccc(C(=O)NCc4ccc(COc5ccc(Cc6cc([C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)ccc6Cl)cc5)cc4)cc3C(=O)[O-])c3ccc(=[N+](C)C)cc-3oc2c1,55.0
CHEMBL445964,CN(Cc1ccc(COc2ccc(Cc3cc([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)ccc3Cl)cc2)cc1)C(=O)c1ccc(-c2c3ccc(=[N+](C)C)cc-3oc3cc(N(C)C)ccc23)c(C(=O)[O-])c1,154.0
CHEMBL448655,Cc1cc(C)n2c1C=C1C=CC(CCC(=O)NCc3ccc(COc4ccc(Cc5cc([C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)ccc5Cl)cc4)cc3)=[N+]1[B-]2(F)F,123.0
CHEMBL449080,Cc1cc(C)n2c1C=C1C=CC(CCC(=O)N(C)Cc3ccc(COc4ccc(Cc5cc([C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)ccc5Cl)cc4)cc3)=[N+]1[B-]2(F)F,95.0
CHEMBL429910,CCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,6.7
CHEMBL575747,CCOc1ccc(Cc2ccc3c(c2)C[C@]2(O3)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,71.0
CHEMBL577354,CCc1ccc(Cc2cc3c(cc2Cl)O[C@@]2(C3)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,6.6
CHEMBL570868,CCOc1ccc(Cc2ccc3c(c2)[C@]2(OC3)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,71.0
CHEMBL565784,CCOc1ccc(Cc2cc3c(cc2Cl)CO[C@]32O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,6.5
CHEMBL585477,COc1ccc(Cc2cc3c(cc2Cl)CO[C@]32O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,2.5
CHEMBL585021,CCc1ccc(Cc2cc3c(cc2Cl)CO[C@]32O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,6.6
CHEMBL567276,CC(C)c1ccc(Cc2cc3c(cc2Cl)CO[C@]32O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,7.1
CHEMBL585315,CC(C)(C)c1ccc(Cc2cc3c(cc2Cl)CO[C@]32O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,13.0
CHEMBL565781,OC[C@H]1O[C@]2(OCc3cc(Cl)c(Cc4ccc(OC(F)(F)F)cc4)cc32)[C@H](O)[C@@H](O)[C@@H]1O,0.3
CHEMBL584689,CCc1ccc(Cc2cc3c(cc2F)CO[C@]32O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,8.6
CHEMBL566017,CCOc1ccc(Cc2cc3c(cc2Cl)CO[C@]32O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cl,68.0
CHEMBL585484,CCOc1ccc(Cc2cc3c(cc2Cl)CO[C@]32O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(Cl)c1,1000.0
CHEMBL585092,CCOc1ccc(Cc2cc3c(cc2Cl)CO[C@]32O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(C)c1,1000.0
CHEMBL593522,COc1ccc(Cc2cc3c(cc2Cl)CO[C@]32O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(C)c1,1000.0
CHEMBL565391,Cc1cc(F)ccc1Cc1cc2c(cc1Cl)CO[C@]21O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,100.0
CHEMBL566019,CCOc1cc(F)ccc1Cc1cc2c(cc1Cl)CO[C@]21O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,1000.0
CHEMBL565377,Cc1cccc(Cc2cc3c(cc2Cl)CO[C@]32O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1F,0.8
CHEMBL566622,COc1c(C)cccc1Cc1cc2c(cc1Cl)CO[C@]21O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,10.0
CHEMBL584916,CCc1ccc(Cc2cccc3c2CO[C@]32O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,1000.0
CHEMBL567474,CCc1ccc(Cc2c(Cl)ccc3c2CO[C@]32O[C@H](CF)[C@@H](O)[C@H](O)[C@H]2O)cc1,3.8
CHEMBL585482,CCc1ccc(Cc2c(Cl)ccc3c2CO[C@]32O[C@H](COC)[C@@H](O)[C@H](O)[C@H]2O)cc1,5.8
CHEMBL566018,CCc1ccc(Cc2c(Cl)ccc3c2CO[C@]32O[C@H](COCC(F)(F)F)[C@@H](O)[C@H](O)[C@H]2O)cc1,70.0
CHEMBL565786,CCc1ccc(Cc2c(Cl)ccc3c2CO[C@]32O[C@H](COC(C)=O)[C@@H](O)[C@H](O)[C@H]2O)cc1,43.0
CHEMBL565376,CCc1ccc(Cc2c(Cl)ccc3c2CO[C@]32O[C@H](CN=[N+]=[N-])[C@@H](O)[C@H](O)[C@H]2O)cc1,10.0
CHEMBL566413,CCc1ccc(Cc2c(Cl)ccc3c2CO[C@]32O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)cc1,100.0
CHEMBL567058,CCc1ccc(C(=O)c2c(Cl)ccc3c2CO[C@]32O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,22.0
CHEMBL567067,CCc1ccc(C(F)(F)c2c(Cl)ccc3c2CO[C@]32O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,7.0
CHEMBL566224,CCc1ccc(C2(c3c(Cl)ccc4c3CO[C@]43O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)CC2)cc1,1.3
CHEMBL569434,CCOc1ccc(Cc2cc([C@@H]3OC(OC)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,25.0
CHEMBL567372,CCOc1ccc(Cc2cc([C@@H]3OC(O)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,280.0
CHEMBL583016,CCOc1ccc(Cc2cc([C@]3(C)OC(OC)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,590.0
CHEMBL566940,CCOc1ccc(Cc2cc([C@@H]3OC(OC)[C@H](F)[C@H](O)[C@H]3O)ccc2Cl)cc1,600.0
CHEMBL567954,CCOc1ccc(Cc2cc([C@@H]3OC(OCCN(C)C)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,3600.0
CHEMBL567778,CCOc1ccc(Cc2cc([C@@H]3OC(OCc4ccccc4)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,620.0
CHEMBL569903,CCOc1ccc(Cc2cc([C@@H]3OC(OCCO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,36.0
CHEMBL582979,CCOc1ccc(Cc2cc([C@H]3OC(OC)[C@H](O)[C@@H](O)[C@@H]3O)ccc2Cl)cc1,30000.0
CHEMBL576252,CCOc1ccc(Cc2cc([C@@H]3OC(OC)C[C@H](O)[C@H]3O)ccc2Cl)cc1,30000.0
CHEMBL568609,COC1O[C@@H](c2ccc(Cl)c(Cc3ccc(OC(=S)N(C)C)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,740.0
CHEMBL566076,COC1O[C@@H](c2ccc(Cl)c(Cc3ccc(Oc4nccs4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,150.0
CHEMBL566484,COC1O[C@@H](c2ccc(Cl)c(Cc3ccc(O[C@H]4CCN(C)C4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,170.0
CHEMBL567953,COCCOc1ccc(Cc2cc([C@@H]3OC(OC)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,45.0
CHEMBL567743,COC1O[C@@H](c2ccc(Cl)c(Cc3ccc(OCCO)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,36.0
CHEMBL568164,COC1O[C@@H](c2ccc(Cl)c(Cc3ccc(O)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,32.0
CHEMBL567777,CCOc1ccc(-c2cccc([C@@H]3OC(OC)[C@@H](O)[C@H](O)[C@H]3O)c2)cc1,4600.0
CHEMBL567572,CCOc1ccc(C(=O)c2cc([C@@H]3O[C@@H](OC)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,100.0
CHEMBL567373,CCOc1ccc(Oc2cc([C@@H]3OC(OC)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,2400.0
CHEMBL577519,COc1ccc(Sc2cc([C@@H]3OC(OC)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,180.0
CHEMBL568398,CCOc1ccc(Cc2cccc([C@@H]3OC(OC)[C@@H](O)[C@H](O)[C@H]3O)c2)cc1,1100.0
CHEMBL585703,CCOc1ccc(Cc2cc([C@@H]3OC(OC)[C@@H](O)[C@H](O)[C@H]3O)ccc2C)cc1,55.0
CHEMBL566471,CCOc1ccc(Cc2cc([C@@H]3OC(OCC)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,58.0
CHEMBL585876,CCOc1ccc(Cc2cc([C@@H]3OC(OC(C)C)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,420.0
CHEMBL592477,C/C=C1/CN2[C@@H]3C[C@@]45c6ccccc6N[C@]4(O3)[C@@H]2C[C@@H]1[C@@]5(COC(=O)c1ccc(OC)c(OC)c1)C(=O)OC,40000.0
CHEMBL592521,C/C=C1/CN2[C@@H]3C[C@@]45c6cc(OC)ccc6N[C@]4(O3)[C@@H]2C[C@@H]1[C@@]5(COC(=O)c1cc(OC)c(OC)c(OC)c1)C(=O)OC,40000.0
CHEMBL592589,C/C=C1\CN2[C@@H]3C[C@@]45c6ccccc6N[C@]4(O3)[C@@H]2C[C@@H]1[C@@]5(COC(=O)c1cc(OC)c(OC)c(OC)c1)C(=O)OC,35000.0
CHEMBL592603,C/C=C1/CN2[C@@H]3C[C@@]45c6cc(OC)ccc6N(C)[C@]4(O3)[C@@H]2C[C@@H]1[C@@]5(COC(=O)c1ccc(OC)c(OC)c1)C(=O)OC,500.0
CHEMBL540945,C/C=C1/CN2[C@@H]3C[C@@]45c6cc(OC)ccc6N(C)[C@]4(O3)[C@@H]2C[C@@H]1[C@@]5(COC(=O)c1cc(OC)c(OC)c(OC)c1)C(=O)OC,2000.0
CHEMBL589220,C/C=C1/CN2[C@@H]3C[C@@]45c6cc(OC)ccc6N(C)[C@]4(O3)[C@@H]2C[C@@H]1[C@@]5(COC(=O)c1ccccc1)C(=O)OC,1000.0
